"","...d2br1listofids.csv","...d2br2listofids.csv","...d2br3listofids.csv","...d25br1listofids.csv","...d25br2listofids.csv","...d25br3listofids.csv","...d37br1listofids.csv","...d37br2listofids.csv","...d37br3listofids.csv"
"contig00005_35",0.00870648517959667,0.0101911381124906,0.00750198724537628,0.00137963503343902,0.00102006193910255,0.000866281653430645,0.000692297759550553,0.000760195302375639,0.000722155942718908
"contig00005_36",0.000979229082241726,0.00164430359229793,0.00159664922420184,0.000435715245023962,0.000749956331974741,0.000526131512676804,0.000375007833563229,0.000354328318903900,0.000438597535832105
"contig00005_5",0.00125826977920829,0.000854635737341885,0.000706006356056905,0.000543672889188099,0.00073633354614841,0.000442961524070688,0.00152888515923181,0.00130114290298795,0.00110526942784645
"contig00005_8",0.00274236368578736,0.00186140513976881,0.00150110988850976,0.000448228093086188,0.000384760205100085,0.000413890123305753,0.000295006162403074,0.000228058590712692,0.000291948513594909
"contig00005_9",0.00094510692598658,0.0012858303557725,0.00101687258782603,0.0026698707472509,0.00197230021101724,0.00113548699176813,0.00113810627970628,0.000990170351833816,0.00105940064138718
"contig00006_1",0.00531376450316029,0.00605134770971314,0.00469010370695677,0.00572064924876224,0.00385753134661633,0.0031524761953497,0.0062963485336351,0.00691042052288565,0.00712491357811388
"contig00006_10",0.00102365585134209,0.00168333191459015,0.00175790844360478,0.000610496218376372,0.000800507809268633,0.000710786433628118,0.000458978471096911,0.00079080719374647,0.000721410298999013
"contig00006_11",0.000634884789585295,0.000598048773719723,0.00118668139874342,0.000456340818752907,0.000570798106467159,0.000662170688546695,0.000685204123463682,0.000563881130883029,0.000809347777448424
"contig00006_2",0.00441305906396938,0.00548101197432642,0.00459523435258091,0.000782053003889162,0.000804300993712041,0.00105226302535361,0.000977293142013263,0.00126699217062607,0.000967163796963104
"contig00006_3",0.00221193860691517,0.00145351854134489,0.00141139340829271,0.000423745045984842,0.000632106051235853,0.000599966775380188,0.000258609298210487,0.000298648154504715,0.000369675065915632
"contig00006_5",0.00204729181814938,0.00138634639647058,0.00131082005570417,0.00249719836928674,0.000614136481217443,0.00216074990843444,0.00198819712598575,0.00101115721309580,0.00184509418993985
"contig00006_6",0.00214504860422758,0.00170205264860260,0.00179070163739609,0.00290425782169768,0.000655498782840223,0.00202860828751265,0.00202978664435298,0.00097009256928484,0.00201914308446989
"contig00006_7",0.00247737123974499,0.00079504083935888,0.00378647310652667,0.00230969299731471,0.0116659294186346,0.0094951263581908,0.00865708992942837,0.0065376796004305,0.00595574967733614
"contig00006_8",0.00217967491624442,0.00260818998301581,0.00274147503989202,0.000876381799650468,0.00137726664325598,0.00151473825207152,0.000799990884615773,0.000971840585423402,0.000972659045809485
"contig00006_9",0.00462196126818095,0.00773151119991857,0.00516254723561559,0.00187168593699752,0.00204255417522267,0.00196875839335707,0.00197001870516082,0.00170496477281779,0.00149087063620296
"contig00007_5",0.000203056875798745,0.000188107391260943,0.000144201914829945,9.10135803091571e-05,0.000136839403487478,0.000145162054075978,0.000143070694965355,0.000198795842671454,0.000158245200408043
"contig00009_1",0.000137533563435502,9.81468681848419e-05,0.000161599765329716,0.000495706558152391,0.000190818857353514,0.000207460969884865,0.000170488847031861,0.000140523027039681,0.000276416536767046
"contig00009_11",0.000375080626475417,0.000185826673372962,6.01470464997501e-05,1.03532821008513e-05,1.00722566780127e-05,9.56013527808175e-06,1.05309196478965e-05,9.95020029287486e-06,1.04217698808273e-05
"contig00009_12",0.00139086797422112,0.0010735505161096,0.00185085828090064,0.00188592702564859,0.00222662155729216,0.00235011140275734,0.00132231297541782,0.00149575464587799,0.00145605634936855
"contig00009_14",0.000590908972261108,0.000389373527413557,0.000226853341456526,9.51191411240236e-05,0.000112018793889898,5.08502385297462e-05,0.000147672820075186,7.2170440098953e-05,8.56695868431551e-05
"contig00009_15",4.95564110240988e-05,1.69134594301814e-05,2.29925950450796e-05,2.82698624912451e-06,2.75025164474685e-06,2.61041578000517e-06,8.62647170585373e-06,2.71692388268634e-06,8.5370609602774e-06
"contig00009_19",0.000132476596858690,4.52138784894723e-05,0.000102441530153078,3.77861824445082e-05,8.57745680159425e-05,8.14133813171675e-05,8.96805068104306e-05,0.000108945186646190,0.000114108423090077
"contig00009_20",9.69642224093905e-05,0.000496404120478822,0.000867631660976815,2.76570193183580e-05,2.6906308048957e-05,2.55382634701205e-05,2.81315475908843e-05,2.65802553278195e-05,2.78399726886436e-05
"contig00009_21",0.000599501252358198,0.000693027230961367,0.000403765361523846,0.000148931313233166,0.000305876313677892,0.000137521945966716,0.000387132468729785,0.000461206354997773,0.000316490400816086
"contig00009_35",3.58291571176818e-05,0.000110055487175925,0.000106865915176300,0.000153292781493224,2.98263724883787e-05,2.83098579552498e-05,0.000343030421398923,0.000206254539404243,0.000154306825367288
"contig00009_37",2.64112072467483e-05,2.70422054203701e-05,2.62584820147481e-05,0.000248597093644441,0.000153904082040034,0.000229552505362854,0.000114937465871327,0.000152039060475128,0.000204743113430196
"contig00009_38",0.00427892508030814,0.00375263417015097,0.00450548368163206,0.000849697097417521,0.00133764290054326,0.00115550666318127,0.00193283511943775,0.00191533582043862,0.00209941669044635
"contig00009_42",2.34221010211872e-05,7.99389518338643e-06,7.76222019017045e-06,0.00119583905995272,0.000357463028386903,0.000425652104154863,0.000332969179002241,0.000340290126908014,0.00023537003936936
"contig00009_46",0.000166006170312737,0.000295215002462452,0.000338779092156249,0.000276622474883614,0.000254567243449962,0.000241623834911064,0.000463878052240612,0.000395186593862572,0.000248349397197938
"contig00009_5",0.00137847967647502,0.000802568377241978,0.00124510248539717,0.000716979921861292,0.000457512134719399,0.000320348392651511,0.00054107988319543,0.000348237614148685,0.000411304391826958
"contig00009_51",9.71000266424569e-06,8.94778855821069e-05,9.65385368189267e-06,2.49261791755789e-05,8.08319758613623e-06,3.83610470191936e-05,4.22564212762233e-05,5.58967134099735e-05,4.18184463705466e-05
"contig00009_52",0.000115228951284290,0.000117981921155354,6.36459051604004e-05,1.09555505887124e-05,3.19745322797854e-05,3.03487950933011e-05,3.34305648656215e-05,5.26451040426343e-05,1.10280224223713e-05
"contig00009_57",1.18208728086469e-05,1.21032888710096e-05,1.17525175257824e-05,0.000131494626375518,0.000167287045695689,0.000196141701280746,5.14425998145327e-05,9.7211675495606e-06,1.01818825945679e-05
"contig00009_65",8.527603815832e-05,0.000122238751438942,8.47829216343341e-05,0.000306472431782395,0.000468527187022243,0.000309945935620761,0.000192976188086546,0.000182334666621463,0.000220356979399042
"contig00009_71",0.000939026431794018,0.000761676894096176,0.000860848651802756,0.00097047678077795,0.000802006759971153,0.000375796557712037,0.000626242393203934,0.000371071585592330,0.000409666299959275
"contig00009_73",0.00136509088618368,0.00113357151791203,0.00127170439059797,0.000303519707356584,0.000456343499072194,0.000195338019891224,0.000196462877710292,0.000220987006504546,0.000194426599962783
"contig00009_75",1.91782625235724e-05,1.96364562181111e-05,5.72020873765258e-05,1.64105965250008e-05,0.00017561669112452,0.000196994322784041,0.000216998120213502,0.000141945180941509,0.000115634077432914
"contig00009_76",9.06266915329598e-05,0.000278375644033222,0.000162184741855797,1.5509622598138e-05,0.000196152261423573,0.000243464778415149,0.000141981575488110,0.000134152112183936,7.80610998916869e-05
"contig00009_77",0.000179019626584473,0.000416583270120138,0.000210345234449126,9.7481254710128e-05,0.000203218418186664,0.000244322048761681,9.91537997833634e-05,6.69186005612358e-05,0.000154198158588860
"contig00009_78",1.10046696861451e-05,1.12675855918209e-05,1.09410341728117e-05,9.41655657744093e-06,2.74828717928632e-05,2.60855119730516e-05,4.78906107797197e-05,2.71498322277014e-05,8.5309630595915e-05
"contig00009_79",7.04567266490998e-05,0.000129852053466716,7.00493041551968e-05,6.02889293067864e-05,8.21134584055059e-05,0.000100206539896479,8.58526803002293e-05,5.79417151200944e-05,3.64126472055735e-05
"contig00009_8",0.000178183086273331,8.29273238650368e-05,0.000134206610764629,0.000947155982847739,0.000480950256375106,0.000251713001048372,0.000531048688692873,0.000377433415315008,0.00059065624298885
"contig00009_81",0.000170213871066154,0.000147468117377372,0.00016922959372111,0.000123242185234496,0.000185295282909389,0.000113800817106231,0.000125356726233601,9.69087495946282e-05,7.89456449329525e-05
