Ensembl Gene ID	GO Term Accession (bp)	Ensembl Protein ID
ENSG00000100567	GO:0008233	ENSP00000216455
ENSG00000100591	GO:0006457	ENSP00000216479
ENSG00000100591	GO:0006950	ENSP00000216479
ENSG00000100591	GO:0005737	ENSP00000216479
ENSG00000100591	GO:0005783	ENSP00000216479
ENSG00000100591	GO:0005829	ENSP00000216479
ENSG00000100591	GO:0001671	ENSP00000216479
ENSG00000100591	GO:0005515	ENSP00000216479
ENSG00000100591	GO:0051087	ENSP00000216479
ENSG00000100612	GO:0055114	ENSP00000216500
ENSG00000100612	GO:0008152	ENSP00000216500
ENSG00000100612	GO:0005488	ENSP00000216500
ENSG00000100612	GO:0016491	ENSP00000216500
