Ensembl Gene ID	GO Term Accession (bp)	Ensembl Protein ID
ENSG00000100030	GO:0007165	ENSP00000215832
ENSG00000100030	GO:0007173	ENSP00000215832
ENSG00000100030	GO:0007264	ENSP00000215832
ENSG00000100030	GO:0007265	ENSP00000215832
ENSG00000100030	GO:0007268	ENSP00000215832
ENSG00000100030	GO:0007411	ENSP00000215832
ENSG00000100030	GO:0007596	ENSP00000215832
ENSG00000100030	GO:0008063	ENSP00000215832
ENSG00000100030	GO:0008284	ENSP00000215832
ENSG00000100030	GO:0008286	ENSP00000215832
ENSG00000100030	GO:0009636	ENSP00000215832
ENSG00000100030	GO:0009887	ENSP00000215832
ENSG00000100030	GO:0016310	ENSP00000215832
ENSG00000100030	GO:0019233	ENSP00000215832
ENSG00000100030	GO:0019858	ENSP00000215832
ENSG00000100030	GO:0030168	ENSP00000215832
ENSG00000100030	GO:0030335	ENSP00000215832
ENSG00000100030	GO:0031663	ENSP00000215832
ENSG00000100030	GO:0032496	ENSP00000215832
ENSG00000100030	GO:0034130	ENSP00000215832
ENSG00000100030	GO:0034134	ENSP00000215832
ENSG00000100030	GO:0034138	ENSP00000215832
ENSG00000100030	GO:0034142	ENSP00000215832
ENSG00000100030	GO:0043330	ENSP00000215832
ENSG00000100030	GO:0043627	ENSP00000215832
ENSG00000100030	GO:0044419	ENSP00000215832
ENSG00000100030	GO:0045087	ENSP00000215832
ENSG00000100030	GO:0045596	ENSP00000215832
ENSG00000100030	GO:0045727	ENSP00000215832
ENSG00000100030	GO:0045941	ENSP00000215832
ENSG00000100030	GO:0048011	ENSP00000215832
ENSG00000100030	GO:0050852	ENSP00000215832
ENSG00000100030	GO:0050853	ENSP00000215832
ENSG00000100030	GO:0051090	ENSP00000215832
ENSG00000100030	GO:0051403	ENSP00000215832
ENSG00000100030	GO:0060716	ENSP00000215832
ENSG00000100030	GO:0070371	ENSP00000215832
ENSG00000100030	GO:0006468	ENSP00000215832
ENSG00000100030	GO:0042221	ENSP00000215832
ENSG00000100030	GO:0005625	ENSP00000215832
ENSG00000100030	GO:0005626	ENSP00000215832
ENSG00000100030	GO:0005634	ENSP00000215832
ENSG00000100030	GO:0005654	ENSP00000215832
ENSG00000100030	GO:0005737	ENSP00000215832
ENSG00000100030	GO:0005829	ENSP00000215832
ENSG00000100030	GO:0032839	ENSP00000215832
ENSG00000100030	GO:0033267	ENSP00000215832
ENSG00000100030	GO:0043204	ENSP00000215832
ENSG00000100030	GO:0043234	ENSP00000215832
ENSG00000100030	GO:0000166	ENSP00000215832
ENSG00000100030	GO:0001784	ENSP00000215832
ENSG00000100030	GO:0003677	ENSP00000215832
ENSG00000100030	GO:0004674	ENSP00000215832
ENSG00000100030	GO:0004707	ENSP00000215832
ENSG00000100030	GO:0005515	ENSP00000215832
ENSG00000100030	GO:0005524	ENSP00000215832
ENSG00000100030	GO:0008134	ENSP00000215832
ENSG00000100030	GO:0008353	ENSP00000215832
ENSG00000100030	GO:0016301	ENSP00000215832
ENSG00000100030	GO:0016740	ENSP00000215832
ENSG00000100030	GO:0031435	ENSP00000215832
ENSG00000100030	GO:0004672	ENSP00000215832
ENSG00000100097	GO:0006915	ENSP00000215909
ENSG00000100097	GO:0007165	ENSP00000215909
ENSG00000100097	GO:0010812	ENSP00000215909
ENSG00000100097	GO:0010977	ENSP00000215909
ENSG00000100097	GO:0033555	ENSP00000215909
ENSG00000100097	GO:0034120	ENSP00000215909
ENSG00000100097	GO:0042493	ENSP00000215909
ENSG00000100097	GO:0042981	ENSP00000215909
ENSG00000100097	GO:0043123	ENSP00000215909
ENSG00000100097	GO:0045445	ENSP00000215909
ENSG00000100097	GO:0048678	ENSP00000215909
ENSG00000100097	GO:0071333	ENSP00000215909
ENSG00000100097	GO:0071407	ENSP00000215909
ENSG00000100097	GO:0005576	ENSP00000215909
ENSG00000100097	GO:0005578	ENSP00000215909
ENSG00000100097	GO:0005615	ENSP00000215909
ENSG00000100097	GO:0005622	ENSP00000215909
ENSG00000100097	GO:0005634	ENSP00000215909
ENSG00000100097	GO:0005737	ENSP00000215909
ENSG00000100097	GO:0009986	ENSP00000215909
ENSG00000100097	GO:0031012	ENSP00000215909
ENSG00000100097	GO:0001948	ENSP00000215909
ENSG00000100097	GO:0004871	ENSP00000215909
ENSG00000100097	GO:0005515	ENSP00000215909
ENSG00000100097	GO:0005529	ENSP00000215909
ENSG00000100097	GO:0030395	ENSP00000215909
ENSG00000100097	GO:0042803	ENSP00000215909
ENSG00000100097	GO:0043236	ENSP00000215909
ENSG00000100097	GO:0016936	ENSP00000215909
ENSG00000100138	GO:0000398	ENSP00000215956
ENSG00000100138	GO:0008380	ENSP00000215956
ENSG00000100138	GO:0010467	ENSP00000215956
ENSG00000100138	GO:0042254	ENSP00000215956
ENSG00000100138	GO:0005634	ENSP00000215956
ENSG00000100138	GO:0005654	ENSP00000215956
ENSG00000100138	GO:0005681	ENSP00000215956
ENSG00000100138	GO:0005730	ENSP00000215956
ENSG00000100138	GO:0031428	ENSP00000215956
ENSG00000100138	GO:0003723	ENSP00000215956
ENSG00000100138	GO:0005515	ENSP00000215956
ENSG00000100138	GO:0030515	ENSP00000215956
ENSG00000100216	GO:0006626	ENSP00000216034
ENSG00000100216	GO:0045040	ENSP00000216034
ENSG00000100216	GO:0055085	ENSP00000216034
ENSG00000100216	GO:0006886	ENSP00000216034
ENSG00000100216	GO:0000299	ENSP00000216034
ENSG00000100216	GO:0005739	ENSP00000216034
ENSG00000100216	GO:0005742	ENSP00000216034
ENSG00000100216	GO:0005743	ENSP00000216034
ENSG00000100216	GO:0016020	ENSP00000216034
ENSG00000100216	GO:0016021	ENSP00000216034
ENSG00000100216	GO:0004872	ENSP00000216034
ENSG00000100216	GO:0005515	ENSP00000216034
ENSG00000100216	GO:0008320	ENSP00000216034
ENSG00000100220	GO:0007160	ENSP00000216038
ENSG00000100220	GO:0034446	ENSP00000216038
ENSG00000100220	GO:0005575	ENSP00000216038
ENSG00000100220	GO:0017166	ENSP00000216038
ENSG00000100297	GO:0000075	ENSP00000216122
ENSG00000100297	GO:0000082	ENSP00000216122
ENSG00000100297	GO:0000084	ENSP00000216122
